,0,1,2,3,4
3,109.0,14126.0,893.0,1292.0,15878.0
5,70.0,9857.0,657.0,877.0,11524.0
7,38.0,7030.0,497.0,596.0,8270.0
9,18.0,4852.0,387.0,420.0,5600.0
