,0,1,2,3,4
3,1.3494270718203642e-05,1.5028980884806202e-05,1.7016583381546986e-05,1.72855013330414e-05,0.0
5,4.921244273341373e-06,6.687057237866427e-06,6.741367438232221e-06,4.597495809710962e-06,0.0
7,3.3786726171348257e-06,3.5748658332992397e-06,4.5082019799329525e-06,1.4853444773778323e-06,0.0
9,2.8270514903003863e-06,2.5413574152362e-06,2.2659448876884418e-06,4.2693243495364153e-07,0.0
