,0,1,2,3,4,5,6,7,8,9
3,0.0,35.0,16.0,202.0,35.0,,,,,
5,0.0,0.0,4.0,173.0,22.0,,,,,
7,0.0,0.0,4.0,148.0,10.0,,,,,
9,0.0,0.0,1.0,112.0,7.0,,,,,
