,0,1,2,3,4,5,6,7,8,9
3,44.0,1.0,12.0,32.0,10.0,45.0,10.0,19.0,7.0,3.0
5,2.0,0.0,4.0,2.0,1.0,2.0,3.0,0.0,2.0,0.0
7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
