,0,1,2,3,4,5,6,7,8,9
3,0.0,3.966181690783255e-05,3.1947095609670386e-05,2.842895502607003e-05,3.6471537705491396e-05,3.070640074923618e-05,3.367878140546366e-05,2.9465356990479153e-05,5.750499363216762e-05,0.0
5,0.0,6.903677589051688e-06,1.2155521211384514e-05,1.0356011429270796e-05,8.585152551006537e-06,5.7742138047016535e-06,7.644032685883764e-06,1.0678189619731871e-05,1.1799549257218375e-05,0.0
7,0.0,5.347336224459785e-06,4.131258339977774e-06,8.36450105751192e-06,0.0,0.0,6.1033368163042096e-06,4.247844749770086e-06,5.452770825494976e-06,0.0
9,0.0,3.2135947914055622e-06,2.3988754072091005e-06,6.21653754400143e-06,0.0,0.0,1.5998157012312182e-06,0.0,6.480041472265422e-06,0.0
