,0,1,2,3,4
3,12876.0,12335.0,19887.0,2024.0,21.0
5,9197.0,8810.0,14591.0,1315.0,12.0
7,7042.0,6655.0,11450.0,958.0,4.0
9,5435.0,5155.0,9043.0,684.0,0.0
