,0,1,2,3,4,5,6,7,8,9
3,8.0,1055.0,601.0,1767.0,,,,,,
5,8.0,867.0,494.0,1542.0,,,,,,
7,7.0,784.0,459.0,1449.0,,,,,,
9,7.0,719.0,416.0,1387.0,,,,,,
