,0,1,2,3,4,5,6,7,8,9
3,0.0014374700527072352,0.000365219230692958,0.0002841009573859974,0.0002815820307344079,9.164642808046556e-05,9.115962722429491e-05,0.00030448367678817144,0.00028051019854936156,0.00034672128513512827,0.0
5,0.0,0.00015878458454818883,0.00017885981211037213,0.00021559332884572838,7.440465544205666e-05,7.50647794611215e-05,0.0002312319887479839,0.00016907133564575462,0.0001415945910866205,0.0
7,0.0,0.00012031506505034517,0.00015905344608914429,0.00020194295410278778,5.9095433585042946e-05,6.09819197847523e-05,0.00021727879066042987,0.000148674566241953,0.0001090554165098995,0.0
9,0.0,0.00010283503332497799,0.00013673589821091873,0.0001973750670220454,5.35678518359799e-05,5.660951464417382e-05,0.00021437530396498322,0.00012770048976893723,9.396060134784862e-05,0.0
