,0,1,2,3,4,5,6,7,8,9
3,3.0,221.0,249.0,416.0,98.0,95.0,443.0,238.0,205.0,0.0
5,0.0,69.0,103.0,229.0,52.0,52.0,242.0,95.0,60.0,0.0
7,0.0,45.0,77.0,169.0,32.0,33.0,178.0,70.0,40.0,0.0
9,0.0,32.0,57.0,127.0,23.0,24.0,134.0,51.0,29.0,0.0
