,0,1,2,3,4,5,6,7,8,9
3,,,,,8.43448360766221e-06,1.2779942580954753e-05,8.19746396351697e-06,,,
5,,,,,4.2298043292517285e-06,5.369648384684474e-06,2.770240963473977e-06,,,
7,,,,,4.136527986432188e-06,3.505261748410539e-06,2.4787611482282643e-06,,,
9,,,,,3.32864438294589e-06,3.059811668591798e-06,1.9316355544566696e-06,,,
