,0,1,2,3,4,5,6,7,8,9
3,2.0,1687.0,816.0,190.0,737.0,806.0,1256.0,,,
5,1.0,1219.0,408.0,110.0,429.0,410.0,494.0,,,
7,0.0,715.0,147.0,55.0,193.0,147.0,189.0,,,
9,0.0,474.0,84.0,39.0,125.0,29.0,83.0,,,
