,0,1,2,3,4
3,33.0,5613.0,894.0,2042.0,674.0
5,0.0,1400.0,176.0,1179.0,239.0
7,0.0,335.0,39.0,764.0,61.0
9,0.0,87.0,7.0,447.0,27.0
