,0,1,2,3,4,5,6,7,8,9
3,0.0,10.0,19.0,32.0,,,,,,
5,0.0,10.0,19.0,29.0,,,,,,
7,0.0,7.0,19.0,28.0,,,,,,
9,0.0,5.0,18.0,25.0,,,,,,
