,0,1,2,3,4,5,6,7,8,9
3,4870.0,967.0,1636.0,145.0,179.0,172.0,131.0,1569.0,876.0,5638.0
5,403.0,102.0,403.0,27.0,53.0,42.0,21.0,369.0,87.0,401.0
7,26.0,12.0,165.0,0.0,15.0,14.0,3.0,155.0,7.0,29.0
9,2.0,0.0,103.0,0.0,4.0,4.0,0.0,96.0,1.0,0.0
