,0,1,2,3,4,5,6,7,8
3,0.0011383039271485487,4.067116041907317e-05,2.023009588452416e-05,4.819595649695264e-05,5.590902483478883e-05,0.0009797145319076104,8.467730888870994e-05,0.0001629928509824367,0.0003464495582768132
5,4.305890458146745e-05,1.811317453205639e-05,0.0,6.629769449767384e-05,9.440968769275312e-06,0.0013800959495279196,2.8705365916131753e-05,0.00012370938576683352,0.0002846109310091407
7,7.61266747868453e-05,2.000357711025972e-05,0.0,6.423020104052926e-05,6.718104956953743e-06,0.0016865506078373668,2.7827119382980006e-05,0.00013832207576066076,0.0003626044458458143
9,0.0001684068710003368,2.4096579088988666e-05,0.0,6.553375193017379e-05,3.548817533997672e-06,0.00023963575365444525,3.0548653822654884e-05,0.00010197285610036678,0.00062901323548683
