,0,1,2,3,4,5,6,7,8,9
3,9.947101136926776e-05,0.00018910400720396217,0.00011985062355927229,0.0001654198224989545,0.0001885341274380263,0.00017873798281937847,0.00014710190122830088,3.583692874212656e-05,0.0001476173222217749,3.116470574813519e-05
5,4.989679881610717e-05,0.00024525833878351864,5.9683028859457316e-05,0.00012030340279961502,0.00013341278806044488,0.00012290624572437,9.392219068291869e-05,1.8405798780990765e-05,9.864833512666263e-05,1.8205595793293664e-05
7,3.152405285232633e-05,0.00037593984962406017,3.373136342170951e-05,9.588121686961524e-05,8.19681729294254e-05,9.929419509813123e-05,5.392734907532572e-05,1.0616471987111603e-05,6.869547296833139e-05,1.0547410610695074e-05
9,1.6437275357236783e-05,0.0005331911490269261,2.2782611172022953e-05,7.363975106491262e-05,4.30551967622492e-05,8.160043431414834e-05,1.1081560283687944e-05,8.243871474238853e-06,1.9656019656019657e-05,6.990487217894122e-06
