,0,1,2,3,4
3,6740.0,6497.0,10364.0,1136.0,11.0
5,4782.0,4566.0,7546.0,704.0,6.0
7,3651.0,3425.0,5896.0,504.0,2.0
9,2811.0,2648.0,4642.0,355.0,0.0
